state,abbrev,stations,weight,rationing,q_rel,q_obs,p0_lo,p0_mid,p0_hi
Kentucky,KY,2994.0,0.016667316139016772,0.4415584415584416,0.8813385927844635,0.014689548951454818,1.2966535180388414,1.4449802770582623,1.5933070360776829
Louisiana,LA,3080.0,0.017146070042809505,0.18181818181818182,0.9864335382053673,0.016913458538645634,1.0339161544865816,1.0508742317298725,1.0678323089731634
Maine,ME,986.0,0.005488969176042264,0.6829268292682927,0.7836771922835748,0.004301579952411889,1.5408070192910628,1.811210528936594,2.0816140385821256
Maryland,MD,2622.0,0.0145964271598203,0.5833333333333334,0.8239742684088868,0.012027080390396537,1.440064328977783,1.6600964934666744,1.880128657955566
Massachusetts,MA,3986.0,0.02218968675020737,0.9166666666666665,0.6891024217853935,0.015290966878227156,1.7772439455365163,2.1658659183047746,2.5544878910730326
Michigan,MI,7588.0,0.042241681650921604,0.1988304093567251,0.9795501265754601,0.04137784460792055,1.0511246835613495,1.0766870253420242,1.1022493671226992
Minnesota,MN,3787.0,0.021081872484454416,0.1111111111111111,1.0150427177921688,0.02139900114276855,0.9247864110391562,0.9435898082793671,0.9623932055195781
Mississippi,MS,2122.0,0.011812974230792783,0.17142857142857143,0.9906373360222034,0.011702373322491499,1.0234066599444915,1.0351099899167373,1.0468133198889833
Missouri,MO,4963.0,0.027628553773527135,0.022727272727272728,1.0508041922756708,0.029032200131736116,0.7459790386216463,0.8094842789662346,0.8729895193108231
Montana,MT,912.0,0.005077018142546191,0.0,1.06,0.005381639231098963,0.6999999999999998,0.7749999999999999,0.8499999999999999
Nebraska,NE,1894.0,0.010543719695156235,0.06,1.035723067607771,0.010920373706663688,0.8213846619611447,0.8660384964708585,0.9106923309805723
Nevada,NV,722.0,0.004019306029515735,0.05,1.039769223006476,0.00417915070733482,0.8011538849676201,0.850865413725715,0.90057694248381
New Hampshire,NH,744.0,0.004141777958392946,0.7826086956521741,0.7433443601013635,0.003078767286163536,1.6416390997465913,1.962458649619887,2.2832781994931826
New Jersey,NJ,4664.0,0.025964048921968682,0.84,0.7201229465087968,0.018697307412986638,1.6996926337280076,2.0495389505920114,2.399385267456015
New Mexico,NM,1353.0,0.007532023625948462,0.15,0.999307669019428,0.0075268089726458175,1.00173082745143,1.002596241177145,1.00346165490286
New York,NY,9247.0,0.051477178469434906,0.6832298136645963,0.783554600088492,0.040335179989302,1.5411134997787699,1.811670249668155,2.0822269995575398
North Carolina,NC,4994.0,0.027801127855126843,0.7089201877934272,0.7731598754908804,0.021494716550975915,1.567100311272799,1.8506504669091985,2.134200622545598
North Dakota,ND,692.0,0.0038522988537740836,0.01652892561983471,1.0533121398368517,0.004057673148959831,0.7334393008157417,0.8000794756118064,0.8667196504078709
Ohio,OH,9781.0,0.05444990619763629,0.22077922077922074,0.9706692963922318,0.052852852137482635,1.0733267590194207,1.109990138529131,1.1466535180388413
Oklahoma,OK,2892.0,0.01609949174149516,0.31884057971014496,0.9309921467079629,0.0149885003773217,1.1725196332300927,1.258779449845139,1.3450392664601853
Oregon,OR,2370.0,0.013193566883590432,0.3946188340807175,0.9003310874053712,0.011878578419058467,1.2491722814865722,1.3737584222298582,1.4983445629731442
Pennsylvania,PA,8645.0,0.04812590114288577,0.5352112676056339,0.8434452040129826,0.04059156050776992,1.3913869899675435,1.5870804849513154,1.782773979935087
Rhode Island,RI,700.0,0.003896834100638524,0.8918918918918919,0.6991266806560585,0.0027243806898467485,1.7521832983598538,2.1282749475397806,2.5043665967197075
South Carolina,SC,2574.0,0.014329215678633659,0.4625,0.8728653128099031,0.012507475325651137,1.3178367179752422,1.4767550769628635,1.6356734359504845
South Dakota,SD,902.0,0.005021349083965641,0.08928571428571427,1.0238736125115644,0.005141226826281536,0.880631937442178,0.9104739530816335,0.940315968721089
Tennessee,TN,4052.0,0.022557102536839,0.3684210526315789,0.9109311168898232,0.020547966607681014,1.222672207775442,1.334008311663163,1.4453444155508839
