state,abbrev,p0_upper_avg,p0_lower_avg,p0_upper_open,p0_upper_nonopen,p0_lower_open,p0_lower_nonopen,share_open,share_nonopen,rationing
Montana,MT,0.6999999999999997,0.8499999999999999,0.6999999999999997,,0.8499999999999999,,1.0,0.0,0.0
Nebraska,NE,0.8143736824159479,0.9071868412079739,0.7,2.606228040265799,0.85,1.8031140201328995,0.94,0.06,0.06
Nevada,NV,0.7953114020132892,0.8976557010066446,0.6999999999999993,2.6062280402657985,0.8499999999999996,1.8031140201328992,0.95,0.05,0.05
New Hampshire,NH,2.191830640208017,1.5959153201040086,0.6999999999999997,2.6062280402657994,0.8499999999999999,1.8031140201328997,0.21739130434782594,0.7826086956521741,0.7826086956521741
New Jersey,NJ,2.3012315538232713,1.6506157769116356,0.6999999999999996,2.6062280402657994,0.8499999999999999,1.8031140201328997,0.16000000000000003,0.84,0.84
New Mexico,NM,0.9859342060398696,0.9929671030199348,0.6999999999999997,2.606228040265799,0.8499999999999999,1.8031140201328995,0.85,0.15,0.15
New York,NY,2.00239182875303,1.501195914376515,0.6999999999999995,2.606228040265799,0.8499999999999998,1.8031140201328995,0.31677018633540366,0.6832298136645963,0.6832298136645963
North Carolina,NC,2.0513635402823267,1.5256817701411634,0.6999999999999995,2.606228040265799,0.8499999999999998,1.8031140201328995,0.29107981220657275,0.7089201877934272,0.7089201877934272
North Dakota,ND,0.7315079014919963,0.8657539507459983,0.6999999999999996,2.6062280402657994,0.8499999999999999,1.8031140201328997,0.9834710743801653,0.01652892561983471,0.01652892561983471
Ohio,OH,1.1208555413573844,1.0604277706786922,0.7000000000000001,2.6062280402657994,0.8500000000000001,1.8031140201328997,0.7792207792207793,0.22077922077922074,0.22077922077922074
Oklahoma,OK,1.307782853418081,1.1538914267090403,0.7000000000000002,2.6062280402657994,0.8500000000000001,1.8031140201328997,0.681159420289855,0.31884057971014496,0.31884057971014496
Oregon,OR,1.4522334867416604,1.2261167433708304,0.6999999999999995,2.6062280402657994,0.8499999999999998,1.8031140201328997,0.6053811659192825,0.3946188340807175,0.3946188340807175
Pennsylvania,PA,1.7202347257760613,1.3601173628880308,0.6999999999999997,2.606228040265799,0.8499999999999999,1.8031140201328995,0.46478873239436613,0.5352112676056339,0.5352112676056339
Rhode Island,RI,2.4001493332100368,1.7000746666050184,0.6999999999999997,2.606228040265799,0.8499999999999999,1.8031140201328995,0.10810810810810811,0.8918918918918919,0.8918918918918919
South Carolina,SC,1.581630468622932,1.290815234311466,0.6999999999999997,2.6062280402657994,0.8499999999999999,1.8031140201328997,0.5375,0.4625,0.4625
South Dakota,SD,0.8701989321665886,0.9350994660832943,0.6999999999999994,2.6062280402657994,0.8499999999999996,1.8031140201328997,0.9107142857142857,0.08928571428571427,0.08928571428571427
Tennessee,TN,1.4022945411505572,1.2011472705752786,0.6999999999999997,2.606228040265799,0.8499999999999999,1.8031140201328995,0.631578947368421,0.3684210526315789,0.3684210526315789
Texas,TX,1.2038755647836346,1.101937782391817,0.6999999999999995,2.6062280402657994,0.8499999999999998,1.8031140201328997,0.7356687898089171,0.2643312101910828,0.2643312101910828
Utah,UT,0.7,0.85,0.7,,0.85,,1.0,0.0,0.0
Vermont,VT,2.3433000347118957,1.6716500173559476,0.6999999999999997,2.606228040265799,0.8499999999999999,1.8031140201328995,0.13793103448275867,0.8620689655172413,0.8620689655172413
Virginia,VA,1.5364061809329526,1.2682030904664763,0.6999999999999997,2.606228040265799,0.8499999999999999,1.8031140201328995,0.5612244897959184,0.4387755102040816,0.4387755102040816
Washington,WA,1.5169548743996282,1.2584774371998142,0.7000000000000002,2.606228040265799,0.8500000000000001,1.8031140201328995,0.5714285714285714,0.42857142857142855,0.42857142857142855
West Virginia,WV,1.561719525051662,1.280859762525831,0.6999999999999997,2.6062280402657985,0.8499999999999999,1.8031140201328992,0.5479452054794521,0.45205479452054786,0.45205479452054786
Wisconsin,WI,1.2337438512744239,1.116871925637212,0.7000000000000002,2.6062280402657994,0.8500000000000001,1.8031140201328997,0.72,0.28,0.28
Wyoming,WY,0.7,0.85,0.7,,0.85,,1.0,0.0,0.0
